City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
531,Touros,BR,82.78,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
533,Lazaro Cardenas,MX,86.32,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
534,Andrews,US,89.08,clear sky,32.3187,-102.5457,Days Inn by Wyndham Andrews Texas
535,Tautira,PF,75.85,clear sky,-17.7333,-149.15,Pension Oaoa
536,Bhitarwar,IN,82.26,moderate rain,25.8,78.1167,Rahman master
539,Gadwal,IN,79.43,overcast clouds,16.2333,77.8,MS RESIDENCY
542,San Marcos,US,80.53,overcast clouds,33.1434,-117.1661,Hampton Inn San Marcos
544,Betanzos,ES,86.65,clear sky,43.2804,-8.2147,Hotel Garelos Betanzos
548,Quebo,GW,79.45,moderate rain,11.3333,-14.9333,
550,Namatanai,PG,79.52,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
551,The Valley,AI,87.66,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
554,Chanute,US,84.45,broken clouds,37.6792,-95.4572,Guest House Motel Chanute
555,Rock Hill,US,90.99,few clouds,34.9249,-81.0251,DDCSVC
556,Prainha,BR,94.06,overcast clouds,-1.8,-53.48,Casa Rocha
560,Gaozhou,CN,79.27,broken clouds,21.9392,110.8461,望江楼旅业
566,Daru,PG,77.85,scattered clouds,-9.0763,143.2092,Daru Lodge
569,Maceio,BR,80.04,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
573,Itacoatiara,BR,94.39,broken clouds,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
574,Edd,ER,90.34,few clouds,13.9297,41.6925,
575,Puerto Del Rosario,ES,76.75,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
577,Wanning,CN,79.56,overcast clouds,18.8003,110.3967,Paradise Hotel
579,Acapulco,MX,85.59,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
581,Jacareacanga,BR,96.12,moderate rain,-6.2222,-57.7528,Casa do Ian😎
585,Asau,RO,79.72,scattered clouds,46.4333,26.4,Casa Mika Ciobanus
589,Dangriga,BZ,84.13,broken clouds,16.9692,-88.2321,Chaleanor Hotel
591,Mastic Beach,US,83.25,few clouds,40.7668,-72.8521,Brushwood House by Smith Point Beach
592,Luganville,VU,76.35,broken clouds,-15.5333,167.1667,The Espiritu Hotel
594,Ligaya,PH,79.72,broken clouds,12.6599,120.8923,Apo Reef Club
595,Rochester,US,86.7,scattered clouds,43.1548,-77.6156,Hyatt Regency Rochester
596,Tuy Hoa,VN,78.46,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
